title,property_type,location,price,price_category,bedroom,bathroom,price_per_bedroom,added_date,updated_date,month_added,state
Government Allocation Land,land,"iberekodo, ibeju lekki, lagos",50000000.0,mid,,,,2026-05-01,2026-01-24,2026-05,Lagos
Luxury 5 Bedroom Detached Duplex With Bq And Pool In A Secured Estate,detached duplex,"chevron toll gate, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2026-01-20,NaT,Lagos
4 Bedroom Semi-detached Duplex With Bq,semi detached duplex,"idado, lekki, lagos",250000000.0,high,4.0,5.0,62500000.0,,2026-01-24,NaT,Lagos
The Most Affordable  Self Compound  Semi Detached With Bq,semi detached duplex,"chevron toll gate,   orchid road, lekki, lagos",150000000.0,high,4.0,4.0,37500000.0,,2026-01-24,NaT,Lagos
Alluring And Fantastic 4 Bedroom Detached Duplex,detached duplex,"lekki, lagos",350000000.0,high,5.0,5.0,70000000.0,,2026-01-24,NaT,Lagos
Exquisite And Elegant 4 Bedroom Semi-detached Duplex With Bq,semi detached duplex,"chevron tollgate, lekki, lagos",300000000.0,high,4.0,4.0,75000000.0,,2026-01-24,NaT,Lagos
"Elegant, Brand New 4 Bedroom Semi-detached Duplex",semi detached duplex,"by chevron tollgate, lekki, lagos",210000000.0,high,4.0,5.0,52500000.0,2025-08-10,2026-01-24,2025-08,Lagos
Five Bedroom Fully Detached Duplex,fully detached,"chevron, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2025-12-30,NaT,Lagos
Residential Plot Of Land,land,"chevron, lekki, lagos",195000000.0,high,,,,,2026-01-24,NaT,Lagos
"Lovely 3 Bedroom Terrace Duplex With Bq, Pool, Kid's Play Area",house,"ikate, lekki, lagos",180000000.0,high,3.0,3.0,60000000.0,,2026-01-24,NaT,Lagos
Four Bedroom Terrace Duplex,house,"ikota, lekki, lagos",150000000.0,high,4.0,4.0,37500000.0,2026-06-01,2026-01-20,2026-06,Lagos
Two Bedroom Apartments,flat/apartment,"ologolo, lekki, lagos",150000000.0,high,2.0,2.0,75000000.0,2026-06-01,2026-01-20,2026-06,Lagos
Luxury Four Bedroom Semi Detached Duplex,semi detached duplex,"cowrie creek, ikate elegushi, lekki, lagos",900000000.0,high,4.0,4.0,225000000.0,,2025-12-30,NaT,Lagos
"Contemporary, Superb 5 Bedroom Detached Duplex With Boy's Quarter",detached duplex,"agungi, lekki, lagos",400000000.0,high,5.0,5.0,80000000.0,,2026-01-24,NaT,Lagos
